sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU001,Appliances,General,2023-01-01,173,238.38
SKU002,Furniture,General,2023-01-01,72,104.85
SKU003,Furniture,General,2023-01-01,183,332.78
SKU004,Furniture,General,2023-01-01,161,256.85
SKU005,Furniture,General,2023-01-01,33,47.95
SKU006,Kitchen,General,2023-01-01,153,220.2
SKU007,Appliances,General,2023-01-01,66,106.55
SKU008,Decor,General,2023-01-01,11,20.14
SKU009,Appliances,General,2023-01-01,188,300.02
SKU010,Appliances,General,2023-01-01,49,71.09
SKU011,Furniture,General,2023-01-01,36,49.14
SKU012,Appliances,General,2023-01-01,101,191.22
SKU013,Furniture,General,2023-01-01,21,38.03
SKU014,Appliances,General,2023-01-01,106,143.65
SKU015,Appliances,General,2023-01-01,170,294.6
SKU016,Furniture,General,2023-01-01,157,225.23
SKU017,Appliances,General,2023-01-01,21,37.02
SKU018,Furniture,General,2023-01-01,30,56.96
SKU019,Appliances,General,2023-01-01,107,159.92
SKU020,Decor,General,2023-01-01,51,79.52
SKU021,Furniture,General,2023-01-01,181,269.13
SKU022,Decor,General,2023-01-01,165,287.84
SKU023,Appliances,General,2023-01-01,51,82.8
SKU024,Decor,General,2023-01-01,173,308.24
SKU025,Furniture,General,2023-01-01,185,282.49
SKU026,Appliances,General,2023-01-01,68,127.52
SKU027,Decor,General,2023-01-01,112,166.59
SKU028,Appliances,General,2023-01-01,155,296.59
SKU029,Kitchen,General,2023-01-01,64,112.56
SKU030,Appliances,General,2023-01-01,174,282.09
SKU031,Appliances,General,2023-01-01,45,66.27
SKU032,Kitchen,General,2023-01-01,159,254.38
SKU033,Decor,General,2023-01-01,102,148.26
SKU034,Furniture,General,2023-01-01,140,230.36
SKU035,Decor,General,2023-01-01,38,53.47
SKU036,Furniture,General,2023-01-01,184,293.57
SKU037,Kitchen,General,2023-01-01,108,169.25
SKU038,Furniture,General,2023-01-01,145,214.02
SKU039,Appliances,General,2023-01-01,184,332.03
SKU040,Appliances,General,2023-01-01,174,267.63
SKU041,Furniture,General,2023-01-01,121,170.7
SKU042,Appliances,General,2023-01-01,194,371.14
SKU043,Furniture,General,2023-01-01,138,253.01
SKU044,Decor,General,2023-01-01,170,256.51
SKU045,Decor,General,2023-01-01,49,76.53
SKU046,Furniture,General,2023-01-01,148,291.18
SKU047,Furniture,General,2023-01-01,163,248.89
SKU048,Appliances,General,2023-01-01,38,74.11
SKU049,Furniture,General,2023-01-01,71,95.18
SKU050,Furniture,General,2023-01-01,31,56.18
SKU051,Decor,General,2023-01-01,146,268.07
SKU052,Decor,General,2023-01-01,178,290.62
SKU053,Kitchen,General,2023-01-01,77,128.54
SKU054,Decor,General,2023-01-01,64,124.82
SKU055,Appliances,General,2023-01-01,192,291.49
SKU056,Kitchen,General,2023-01-01,122,235.43
SKU057,Furniture,General,2023-01-01,40,58.94
SKU058,Decor,General,2023-01-01,96,126.21
SKU059,Furniture,General,2023-01-01,160,232.66
SKU060,Decor,General,2023-01-01,191,332.68
SKU061,Appliances,General,2023-01-01,27,52.21
SKU062,Appliances,General,2023-01-01,28,46.48
SKU063,Decor,General,2023-01-01,181,296.8
SKU064,Kitchen,General,2023-01-01,195,381.2
SKU065,Kitchen,General,2023-01-01,72,133.14
SKU066,Kitchen,General,2023-01-01,58,79.23
SKU067,Kitchen,General,2023-01-01,100,159.65
SKU068,Furniture,General,2023-01-01,196,262.23
SKU069,Appliances,General,2023-01-01,25,39.55
SKU070,Decor,General,2023-01-01,37,54.54
SKU071,Kitchen,General,2023-01-01,147,237.26
SKU072,Decor,General,2023-01-01,56,83.72
SKU073,Furniture,General,2023-01-01,29,46.7
SKU074,Furniture,General,2023-01-01,22,38.64
SKU075,Decor,General,2023-01-01,33,64.3
SKU076,Kitchen,General,2023-01-01,52,82.39
SKU077,Furniture,General,2023-01-01,64,121.94
SKU078,Kitchen,General,2023-01-01,52,81.39
SKU079,Kitchen,General,2023-01-01,77,150.04
SKU080,Kitchen,General,2023-01-01,83,132.48
SKU081,Decor,General,2023-01-01,49,70.21
SKU082,Furniture,General,2023-01-01,24,40.93
SKU083,Kitchen,General,2023-01-01,90,120.6
SKU084,Decor,General,2023-01-01,138,268.21
SKU085,Furniture,General,2023-01-01,24,47.34
SKU086,Furniture,General,2023-01-01,57,76.83
SKU087,Kitchen,General,2023-01-01,182,346.4
SKU088,Decor,General,2023-01-01,40,78.36
SKU089,Furniture,General,2023-01-01,158,271.15
SKU090,Appliances,General,2023-01-01,117,205.94
SKU091,Appliances,General,2023-01-01,76,109.67
SKU092,Decor,General,2023-01-01,71,105.5
SKU093,Kitchen,General,2023-01-01,181,317.08
SKU094,Furniture,General,2023-01-01,90,175.53
SKU095,Furniture,General,2023-01-01,12,19.45
SKU096,Appliances,General,2023-01-01,28,46.94
SKU097,Furniture,General,2023-01-01,43,83.99
SKU098,Decor,General,2023-01-01,72,112.22
SKU099,Appliances,General,2023-01-01,122,229.8
SKU100,Furniture,General,2023-01-01,166,330.12
SKU101,Appliances,General,2023-01-01,180,336.96
SKU102,Decor,General,2023-01-01,179,245.68
SKU103,Furniture,General,2023-01-01,77,106.32
SKU104,Appliances,General,2023-01-01,200,337.45
SKU105,Appliances,General,2023-01-01,82,141.32
SKU106,Appliances,General,2023-01-01,62,110.44
SKU107,Furniture,General,2023-01-01,139,228.23
SKU108,Appliances,General,2023-01-01,33,57.55
SKU109,Decor,General,2023-01-01,21,27.35
SKU110,Decor,General,2023-01-01,173,343.55
SKU111,Kitchen,General,2023-01-01,199,320.25
SKU112,Furniture,General,2023-01-01,153,199.94
SKU113,Furniture,General,2023-01-01,186,359.49
SKU114,Decor,General,2023-01-01,104,177.61
SKU115,Appliances,General,2023-01-01,120,166.71
SKU116,Furniture,General,2023-01-01,103,198.72
SKU117,Decor,General,2023-01-01,101,146.15
SKU118,Kitchen,General,2023-01-01,180,246.95
SKU119,Decor,General,2023-01-01,168,306.54
SKU120,Decor,General,2023-01-01,51,101.15
SKU121,Appliances,General,2023-01-01,115,151.5
SKU122,Decor,General,2023-01-01,115,214.08
SKU123,Furniture,General,2023-01-01,78,110.09
SKU124,Kitchen,General,2023-01-01,107,204.43
SKU125,Kitchen,General,2023-01-01,66,95.02
SKU126,Decor,General,2023-01-01,99,149.85
SKU127,Decor,General,2023-01-01,67,88.21
SKU128,Furniture,General,2023-01-01,112,171.34
SKU129,Kitchen,General,2023-01-01,81,125.21
SKU130,Appliances,General,2023-01-01,183,363.59
SKU131,Appliances,General,2023-01-01,17,23.47
SKU132,Appliances,General,2023-01-01,55,93.85
SKU133,Kitchen,General,2023-01-01,19,26.14
SKU134,Appliances,General,2023-01-01,98,177.38
SKU135,Furniture,General,2023-01-01,121,208.65
SKU136,Decor,General,2023-01-01,108,208.4
SKU137,Kitchen,General,2023-01-01,75,99.83
SKU138,Decor,General,2023-01-01,10,16.64
SKU139,Appliances,General,2023-01-01,103,165.0
SKU140,Furniture,General,2023-01-01,169,256.84
SKU141,Appliances,General,2023-01-01,194,374.43
SKU142,Kitchen,General,2023-01-01,180,285.46
SKU143,Decor,General,2023-01-01,188,283.31
SKU144,Kitchen,General,2023-01-01,59,94.06
SKU145,Decor,General,2023-01-01,183,333.74
SKU146,Kitchen,General,2023-01-01,167,283.63
SKU147,Appliances,General,2023-01-01,150,282.54
SKU148,Appliances,General,2023-01-01,83,120.11
SKU149,Decor,General,2023-01-01,129,207.59
SKU150,Decor,General,2023-01-01,140,228.37
SKU151,Appliances,General,2023-01-01,178,241.97
SKU152,Decor,General,2023-01-01,33,61.81
SKU153,Decor,General,2023-01-01,182,276.15
SKU154,Decor,General,2023-01-01,47,61.9
SKU155,Furniture,General,2023-01-01,131,226.35
SKU156,Decor,General,2023-01-01,126,200.35
SKU157,Kitchen,General,2023-01-01,193,344.98
SKU158,Furniture,General,2023-01-01,112,164.73
SKU159,Decor,General,2023-01-01,37,68.26
SKU160,Kitchen,General,2023-01-01,55,102.46
